0 954
6 505 34946
6 809 63808
6 176 3756
6 623 19011
6 125 94361
6 807 29950
6 278 6707
6 639 62144
6 826 38123
6 598 13465
6 34 82345
6 478 96593
6 123 77813
6 219 41291
6 759 29429
6 746 8146
6 632 97570
6 793 42225
6 52 26584
6 250 74643
6 174 97465
6 377 76848
6 947 82413
6 905 96959
6 307 79563
6 396 55640
6 344 20232
6 897 34604
6 432 71885
6 191 65354
6 692 31758
6 292 14758
6 851 15268
6 824 84428
6 803 78470
6 279 48423
6 43 60353
6 37 81543
6 401 17411
6 949 31511
6 672 29125
6 7 45195
6 790 18215
6 244 14539
6 443 89718
6 405 74928
6 199 85769
6 780 34349
6 449 48272
6 311 20950
6 120 57384
6 868 67467
6 641 23336
6 551 11826
6 539 53243
6 944 74593
6 423 83637
6 236 59130
6 577 70408
6 370 84937
6 607 59075
6 686 18273
6 471 85321
6 605 22310
6 722 47285
6 462 54015
6 808 491
6 231 16412
6 355 38398
6 506 593
6 247 14576
6 495 60548
6 189 26482
6 408 57510
6 821 81120
6 850 5014
6 935 83133
6 195 15293
6 719 37591
6 877 38039
6 36 31566
6 688 87202
6 569 49982
6 566 19463
6 223 5135
6 575 92603
6 914 26259
6 544 48531
6 814 37254
6 157 94195
6 393 99606
6 732 31475
6 863 72446
6 92 81121
6 690 40314
6 216 6678
6 316 11994
6 167 61996
6 633 91134
6 779 89526
6 661 77711
6 178 43135
6 952 83673
6 457 83862
6 17 18170
6 647 31572
6 652 17552
6 706 10978
6 33 67128
6 455 18084
6 836 56141
6 160 57448
6 203 41199
6 917 8684
6 76 2767
6 73 1358
6 468 32287
6 429 84786
6 406 49610
6 173 73775
6 255 41377
6 488 18758
6 48 24352
6 139 72244
6 934 26739
6 21 51859
6 829 17450
6 230 33231
6 70 36793
6 381 37934
6 10 74215
6 921 23553
6 582 28563
6 854 7756
6 597 51064
6 319 65815
6 282 29575
6 215 69318
6 108 51253
6 893 23617
6 904 768
7 894 65796
7 698 47555
7 546 95036
7 904 44502
7 255 75801
7 591 51086
7 873 85780
7 288 96130
7 728 77566
7 709 63386
7 907 36210
7 942 61576
7 890 30605
7 504 43920
7 264 97595
7 193 28270
7 599 62154
7 187 690
7 444 55766
7 881 519
7 185 97410
7 270 92985
7 908 82687
7 493 80760
7 229 95749
7 456 68862
7 912 39850
7 628 52261
7 639 43615
7 604 89103
7 2 53865
7 34 53654
7 495 42252
7 553 89559
7 119 32238
7 445 62287
7 760 41681
7 287 45540
7 199 60737
7 86 33675
7 789 86796
7 371 4795
7 747 65676
7 285 13451
7 938 69587
7 263 83203
7 467 55822
7 397 7552
7 852 9248
7 426 51809
7 580 18492
7 819 43157
7 708 50561
7 455 6683
7 252 76729
7 261 19475
7 680 52827
7 548 71283
7 368 27144
7 779 1533
7 399 97024
7 806 63555
7 232 81743
7 811 30929
7 527 43598
7 235 78875
7 396 92578
7 781 42473
7 44 42275
7 704 76429
7 215 91688
7 799 49583
7 780 13756
7 785 43494
7 823 67598
7 809 31890
7 43 77009
7 687 34961
7 932 20973
7 63 7026
7 55 73351
7 75 54582
7 250 91797
7 879 97681
7 176 48563
7 726 80479
7 795 66586
7 175 35361
7 746 51485
7 45 71457
7 39 21258
7 99 82937
7 820 16977
7 814 22555
7 655 70500
7 24 61886
7 624 67388
7 154 21906
7 451 87140
7 685 1347
7 478 12970
7 767 66505
7 765 16240
7 576 49777
7 930 26236
7 194 87216
7 336 46851
7 407 38167
7 316 12010
7 846 63304
7 450 76128
7 483 17710
7 5 69903
7 864 88327
7 442 1669
7 116 44239
7 947 64694
7 373 79435
7 485 83560
7 404 33714
7 475 56875
7 834 98180
7 226 26593
7 484 737
7 230 58837
7 411 8169
7 776 35696
7 652 93463
7 718 92642
7 47 5198
7 379 82733
7 688 23706
7 108 54503
7 149 4804
7 38 61695
7 94 57417
7 223 63266
7 405 54060
7 756 3080
7 937 66668
7 36 22146
7 391 22022
7 778 39052
7 57 13749
7 818 33873
7 303 84924
7 25 37892
7 18 48598
7 286 13315
7 337 94309
7 578 71091
7 192 70632
7 414 2528
7 356 18122
7 696 39661
7 64 56634
7 105 38384
7 90 36660
7 856 1373
7 513 2716
7 876 95548
7 447 1769
7 335 87302
7 508 55343
7 214 79733
8 569 97854
8 205 51243
8 243 88233
8 536 62483
8 593 56709
8 348 29701
8 380 95805
8 617 21398
8 260 23700
8 619 1310
8 527 18553
8 775 40155
8 729 18339
8 452 88663
8 940 9098
8 645 4205
8 480 94484
8 915 94002
8 381 1752
8 13 57681
8 714 93678
8 547 59550
8 598 26061
8 247 4429
8 694 3953
8 112 4498
8 188 36775
8 211 55825
8 540 90370
8 860 64087
8 843 40075
8 369 34558
8 803 49474
8 588 41840
8 30 91306
8 82 92553
8 868 37451
8 254 58954
8 865 77452
8 644 24412
8 114 1466
8 270 72134
8 878 92137
8 698 37017
8 701 89399
8 220 63427
8 384 61748
8 14 57581
8 177 35210
8 388 52942
8 195 60276
8 52 38426
8 521 35345
8 522 1287
8 231 78421
8 372 45457
8 431 27465
8 64 69168
8 499 83265
8 568 43907
8 937 44194
8 123 12971
8 856 20233
8 148 42232
8 61 19436
8 5 72046
8 884 57018
8 125 93788
8 122 24201
8 458 98859
8 703 906
8 333 16893
8 329 6913
8 256 73185
8 614 84484
8 441 89751
8 277 56705
8 358 9213
8 50 43506
8 353 88554
8 179 8080
8 192 92884
8 532 34900
8 779 81357
8 526 60885
8 438 34487
8 538 82784
8 685 54928
8 840 41561
8 815 58475
8 624 76830
8 796 79644
8 355 24023
8 151 83651
8 706 23671
8 945 11269
8 628 24009
8 660 47297
8 470 84980
8 781 23641
8 914 98722
8 620 50682
8 912 5080
8 79 29904
8 373 98899
8 574 7037
8 326 91200
8 848 37881
8 524 22479
8 386 61219
8 830 72793
8 798 64659
8 168 66193
8 262 7014
8 615 43498
8 652 15330
8 443 93109
8 91 27127
8 869 8513
8 133 10652
8 382 2791
8 127 24266
8 360 22271
8 42 73005
8 261 53235
8 157 91120
8 97 26820
8 241 50515
8 403 63822
8 1 59143
8 117 93311
8 23 67001
8 198 70830
8 556 48216
8 691 27134
8 274 70332
8 567 2242
8 63 69036
8 286 82533
8 562 92399
8 518 90992
8 322 85601
8 586 53276
8 782 50315
8 344 62473
8 439 31391
8 675 79253
8 377 92395
8 379 23701
8 92 1635
8 859 17780
8 253 63529
8 323 61957
8 197 85795
8 296 67840
8 920 85099
8 665 51470
8 4 13974
8 773 47600
8 494 42248
8 399 48518
8 500 30904
8 115 54842
8 404 81569
8 331 65304
8 128 80707
8 191 22785
8 797 16042
8 75 25960
8 28 6206
8 332 65491
8 465 19208
8 411 42899
8 519 34409
8 523 74468
8 178 45379
8 852 1515
8 237 87067
8 204 76061
8 209 33190
8 24 78162
8 690 93242
8 784 69282
8 916 20898
8 603 71359
8 461 4351
8 85 81645
8 728 5044
8 583 6898
8 819 19657
8 401 11970
8 298 71056
8 116 4391
8 376 90643
8 442 59959
8 489 29433
8 213 69522
8 9 44635
8 429 3270
8 627 19426
8 537 11937
8 821 98769
8 495 49044
8 266 54668
8 879 28565
8 258 97968
8 246 3239
8 759 43829
8 696 47736
8 171 57052
8 186 37161
8 716 8248
8 873 45235
8 816 60637
8 741 88546
8 509 6246
8 662 54860
8 682 40057
8 394 94843
8 580 38393
8 846 59838
8 906 38847
8 564 88622
9 411 56104
9 510 94171
9 913 12342
9 821 82992
9 245 51163
9 281 11073
9 198 59755
9 368 42831
9 244 41323
9 886 27583
9 339 90395
9 150 67727
9 720 27848
9 742 8718
9 681 22291
9 17 68777
9 86 70824
9 694 79079
9 583 2297
9 323 58710
9 97 58560
9 719 61358
9 314 69020
9 243 99771
9 580 34745
9 635 55575
9 738 99435
9 24 28884
9 409 54474
9 108 5185
9 606 18773
9 135 9577
9 934 87783
9 525 76114
9 354 19800
9 175 85992
9 609 20741
9 132 1696
9 925 98057
9 73 80568
9 557 77932
9 318 93285
9 122 23636
9 34 77119
9 506 57225
9 352 35484
9 377 1839
9 396 71809
9 776 46049
9 556 61831
9 570 864
9 264 35537
9 3 58466
9 898 34195
9 722 3576
9 646 51739
9 842 35292
9 456 60969
9 42 36897
9 561 24653
9 528 1347
9 488 44702
9 527 37146
9 703 96563
9 367 89301
9 739 63150
9 424 35381
9 164 48631
9 263 81935
9 816 29434
9 615 65418
9 603 41750
9 507 93487
9 5 60931
9 680 81
9 693 77333
9 524 68235
9 394 29807
9 212 94826
9 120 26542
9 942 24346
9 91 94260
9 800 41533
9 419 4770
9 458 49688
9 22 58164
9 682 49099
9 874 5599
9 796 19378
9 687 73614
9 912 54782
9 64 61499
9 68 29079
9 686 96165
9 554 97695
9 90 42751
9 359 48351
9 158 23937
9 149 25248
9 511 84080
9 123 16946
9 752 58006
9 542 92314
9 823 12628
9 840 81347
9 714 33368
9 847 47236
9 50 84552
9 882 31507
9 19 69588
9 789 60641
9 194 34252
9 916 3762
9 512 59261
9 474 53723
9 414 30393
9 784 27353
9 99 11962
9 946 26781
9 381 84247
9 255 45139
9 79 22383
9 204 89695
9 502 42411
9 641 29345
9 746 51265
9 84 68864
9 837 37299
9 770 33667
9 667 78094
9 300 53409
9 395 23431
9 95 46848
9 422 95733
9 139 26711
9 224 19334
9 627 59645
9 347 87462
9 594 78252
9 669 17153
9 716 22922
9 760 17043
9 222 58052
9 215 73500
9 127 94654
9 572 94656
9 622 90874
9 326 79437
9 153 39250
9 745 39575
9 151 65754
9 378 83007
9 809 81357
9 192 81961
9 481 9543
9 208 28917
9 860 99909
9 403 34816
9 401 5020
9 246 76208
9 226 94474
9 315 3955
9 170 65254
9 771 32472
9 613 6702
9 697 18722
9 147 83683
9 896 98310
9 831 65164
9 773 39875
9 89 9133
9 231 42021
9 661 76541
9 922 91124
9 579 15068
9 451 62176
9 830 4774
9 858 24005
9 288 90391
9 939 24925
9 130 35720
9 247 37558
9 754 64950
9 173 51575
9 143 45921
9 258 20937
9 640 44526
9 455 6654
9 420 14009
9 514 20960
9 735 57095
9 180 19965
9 919 95682
9 918 28156
9 499 35819
9 798 45564
9 880 30608
9 647 41143
9 872 76905
9 450 85991
9 31 19016
9 626 61638
9 933 35340
9 241 29335
10 636 66647
10 584 79810
10 138 61848
10 872 20764
10 949 21767
10 31 40725
10 547 3285
10 731 32602
10 239 4117
10 318 79662
10 789 30501
10 730 48553
10 884 80477
10 284 72767
10 449 57780
10 740 71482
10 403 80350
10 84 65860
10 520 44902
10 907 47102
10 586 44344
10 247 85014
10 410 34449
10 459 34033
10 363 78477
10 395 68102
10 82 48885
10 383 46405
10 498 61451
10 784 10832
10 158 73990
10 5 76359
10 820 49956
10 27 29239
10 805 45193
10 662 77877
10 679 80518
10 378 37164
10 814 13209
10 664 69882
10 540 17595
10 64 663
10 275 87341
10 513 12192
10 159 15294
10 528 84372
10 674 21687
10 756 76325
10 382 35652
10 806 82851
10 524 98255
10 313 70380
10 232 56321
10 384 93737
10 335 95092
10 76 61215
10 79 50657
10 422 11868
10 466 57999
10 768 3140
10 920 79785
10 702 95279
10 108 89465
10 95 9870
10 893 13792
10 236 65746
10 748 86895
10 823 24418
10 439 7947
10 33 93305
10 839 64898
10 415 80093
10 226 81958
10 50 33528
10 263 21665
10 417 31136
10 326 43673
10 723 51909
10 365 25619
10 796 98926
10 948 29781
10 654 61895
10 631 59204
10 828 23240
10 678 99160
10 704 33571
10 97 57776
10 942 15270
10 530 96762
10 231 57580
10 910 55895
10 398 64849
10 24 87499
10 151 6206
10 289 98182
10 465 14076
10 419 28474
10 597 82041
11 471 5281
11 337 63032
11 124 94405
11 738 82740
11 155 92122
11 214 90968
11 186 74885
11 484 64
11 646 79987
11 596 31661
11 343 5063
11 861 75930
11 769 81617
11 149 31417
11 566 32125
11 165 62832
11 188 78013
11 234 72008
11 925 51441
11 761 78057
11 436 93185
11 272 77624
11 615 45430
11 886 3589
11 809 921
11 703 87271
11 878 88391
11 325 47804
11 247 88356
11 280 5232
12 348 83245
12 952 63443
12 551 92567
12 842 54757
12 584 53460
12 888 28949
12 376 69479
12 719 67885
12 306 40260
12 193 14869
12 99 24227
12 134 83361
12 889 58576
12 681 98941
12 73 40775
12 591 29937
12 598 91253
12 501 719
12 618 53654
12 693 51497
12 150 79524
12 81 71409
12 5 19784
12 15 92953
12 20 75129
12 694 71693
12 652 18593
12 553 9941
12 458 48374
12 179 91712
12 874 88093
12 446 4393
12 734 99487
12 572 60637
12 239 81511
12 742 47780
12 55 21865
12 46 8564
12 103 60310
12 157 38990
12 899 99400
12 322 67454
12 539 34572
12 552 58074
12 636 10489
12 302 25600
12 536 51328
12 118 5632
12 316 92421
12 755 1179
12 557 72765
12 731 24114
12 759 54212
12 429 97725
12 531 83487
12 514 6463
12 439 83118
12 578 83669
12 800 16180
12 129 41192
12 416 28527
12 484 66668
12 70 16029
12 907 69101
12 450 53465
12 441 57269
12 554 32865
12 61 48312
12 795 58929
12 863 99994
12 435 28511
12 469 25773
12 819 54151
12 291 24570
12 605 46490
12 672 13389
12 804 99153
12 102 85294
12 349 2263
12 515 7917
12 358 89946
12 477 65926
12 126 89835
12 635 25734
12 54 95723
12 382 21994
12 890 82775
12 265 44611
12 137 31082
12 270 90837
12 308 38628
12 757 7081
12 491 66346
12 337 47483
12 319 60842
12 351 3785
12 40 84325
12 391 32502
12 433 21068
12 209 83948
12 431 2261
12 886 73472
12 75 14090
12 235 27266
12 72 84885
12 301 6848
12 777 59423
12 210 52542
12 378 92236
12 616 77036
12 250 72855
12 131 22342
12 733 52247
12 24 53578
12 220 25690
12 463 93508
12 705 98786
12 25 77644
12 478 31287
12 803 98295
12 178 88310
12 873 16457
12 53 50726
12 876 87340
12 419 15086
12 85 55333
12 835 82501
12 600 77822
12 735 65221
12 826 24413
12 855 1627
12 413 35212
12 611 1251
12 459 66820
12 565 81411
12 789 49428
12 518 19213
12 255 99570
12 199 59466
12 858 3631
12 379 41529
12 399 37230
12 299 44518
12 877 14011
12 368 95913
12 654 11132
12 875 62403
12 676 49432
12 768 35467
12 467 88608
12 58 42435
12 845 30364
12 292 37023
12 597 7063
12 323 61938
12 736 2998
12 334 32193
12 357 92080
12 645 93932
12 914 26506
12 216 42269
12 892 51089
12 507 78637
12 225 54780
12 432 10189
12 867 89694
12 356 54676
12 271 29083
12 156 73376
12 218 88154
12 913 7296
12 415 54448
12 663 45516
12 473 67789
12 538 31710
12 487 35012
12 287 45103
12 251 35698
12 35 14298
12 555 88894
12 176 70424
12 930 33945
12 226 62106
12 701 82070
12 529 35036
12 127 86788
12 659 53071
13 946 14525
13 766 13596
13 95 27677
13 193 91413
13 792 58461
13 933 18443
13 7 17981
13 733 65873
13 891 60662
13 491 7818
13 259 17468
13 493 80
13 487 440
13 322 25078
13 447 70991
13 594 13187
13 684 29342
13 911 88035
13 680 85369
13 582 5038
13 181 63483
13 906 80301
13 751 34776
13 30 54246
13 285 73772
13 94 94519
13 880 59363
13 811 60444
13 255 28871
13 372 11443
13 67 18080
13 180 67762
13 119 36899
13 888 18264
13 304 29663
13 188 98119
13 64 95913
13 702 88841
13 436 61034
13 612 12220
13 338 53850
13 43 66502
13 832 64089
13 136 48870
13 44 11585
13 24 16511
13 161 46584
13 729 84834
13 942 70105
13 860 41769
13 659 17547
13 190 42435
13 795 5484
13 695 63616
13 686 10238
13 805 38422
13 771 63769
13 26 27436
13 71 295
13 662 36091
13 862 59360
13 938 90598
13 769 69576
13 110 22129
13 692 72152
13 826 36488
13 611 42236
13 700 62212
13 824 24841
13 585 98037
13 263 85591
13 331 68184
13 813 38718
13 330 89330
13 277 29412
13 134 27409
13 69 87337
13 736 95440
13 467 53017
13 909 6066
13 809 19096
13 133 56105
13 256 877
13 698 99885
13 72 39820
13 563 88978
13 492 92431
13 621 38436
13 102 41991
13 753 5956
13 116 9158
13 520 7763
13 715 79405
13 124 38663
13 268 26225
13 433 73940
13 469 23003
13 205 97415
13 169 30225
13 303 37161
13 609 62643
13 313 92715
13 73 93442
13 155 77899
13 554 22458
13 216 16254
13 183 49775
13 391 9994
13 417 32347
13 334 37671
13 78 63032
13 247 56840
13 776 16265
13 439 14031
13 788 22618
13 251 10455
13 506 57613
13 318 8112
13 756 51770
13 234 651
13 752 11984
13 196 93894
13 137 27280
13 258 41294
13 376 67108
13 603 89621
13 919 43686
13 789 74163
13 345 60274
13 326 17619
13 253 5673
13 350 48211
13 664 14661
13 864 54501
13 18 17875
14 213 11768
14 347 2291
14 699 72883
14 761 17329
14 817 76061
14 536 48708
14 568 34923
14 512 64064
14 244 53924
14 612 87056
14 68 45147
14 650 34540
14 853 88044
14 117 63000
14 447 57566
14 7 30749
14 833 83507
14 281 68808
14 639 79070
14 289 92073
14 702 34770
14 2 21427
14 44 70377
14 500 96569
14 798 72286
14 376 34904
14 862 17167
14 11 78909
14 189 68350
14 130 8793
14 338 49379
14 357 2122
14 723 75875
14 618 50071
14 543 48501
14 391 99074
14 691 1842
14 312 14806
14 519 12202
14 886 87242
14 155 34623
14 23 24291
14 328 66430
14 292 88143
14 847 34906
14 475 31114
14 488 86757
14 767 40660
14 413 78284
14 940 11674
14 408 5133
14 124 14209
14 340 47664
14 766 43600
14 341 44173
14 399 3880
14 131 8105
14 574 77455
14 946 61882
14 813 50119
14 478 65739
14 353 32687
14 381 90053
14 409 28261
14 377 88327
14 90 31592
14 464 69682
14 903 45296
14 459 55703
14 443 76357
14 681 83469
14 43 20523
14 892 74503
14 588 95694
14 522 14485
14 757 64701
14 622 73698
14 445 38049
14 82 46319
14 696 77076
14 37 88590
14 148 18248
14 907 66373
14 457 12686
14 899 65080
14 181 28879
15 649 24572
15 263 83578
15 367 88093
15 122 38575
15 533 40788
15 102 63406
15 710 75382
15 845 45425
15 670 16378
15 729 11538
15 827 62872
15 732 17097
15 208 55909
15 414 48983
15 558 18260
15 647 90581
15 315 65496
15 588 24061
15 44 76898
15 820 70676
16 922 50433
16 480 52674
16 203 19944
16 88 64940
16 912 9376
16 446 33001
16 652 17701
16 33 42793
16 159 10765
16 633 41694
16 105 34716
16 282 41289
16 394 38620
16 414 8035
16 641 97568
16 209 63529
16 634 7030
16 469 48079
16 865 53601
16 133 60690
16 936 64736
16 415 30060
16 866 466
16 766 61072
16 741 88982
16 895 49752
16 345 16795
16 940 66898
16 232 93732
16 901 99647
16 794 31057
16 613 57084
16 229 94997
16 498 85644
16 644 46341
16 507 11076
16 430 36959
16 470 99337
17 896 87366
17 853 76138
17 142 77019
17 933 58193
17 882 50464
17 635 41084
17 412 41888
17 337 56786
17 547 330
17 358 42358
17 242 52055
17 483 65010
17 554 16125
17 568 12263
17 319 63216
17 112 15754
17 926 84075
17 740 20403
17 136 17526
17 122 37713
17 810 63222
17 774 34450
17 159 83640
17 220 20431
17 603 75720
17 439 86294
17 505 84190
17 864 3079
17 770 15182
17 949 52070
17 140 85371
17 38 61683
17 953 92417
17 225 46889
17 542 93383
17 80 94282
17 29 96101
17 427 78065
17 58 36318
17 654 80060
17 32 77635
17 194 56163
17 941 34007
17 404 78491
17 344 90933
17 534 60290
17 268 31086
17 594 62099
17 394 20408
17 164 49795
17 925 26292
17 22 86745
17 143 89158
17 902 18483
17 856 63304
17 503 70216
17 622 97599
17 233 35466
17 681 85618
17 55 13498
17 796 77219
17 553 85557
17 86 12110
17 139 64509
18 302 14303
18 624 15638
18 243 65754
18 449 80240
18 334 72864
18 474 10218
18 913 92281
18 366 1708
18 402 35677
18 382 36979
18 791 63162
18 761 59555
18 885 15437
18 273 81761
18 890 65071
18 538 52437
18 854 9638
18 545 70455
18 477 5954
18 450 5463
18 551 15778
18 48 16381
18 945 49105
18 699 83502
18 414 34393
18 706 15964
18 724 32667
18 853 94508
18 404 27194
18 675 45056
18 789 55303
18 77 64055
18 362 30085
18 182 9154
18 284 14529
18 715 84912
18 921 28711
18 677 80496
18 139 69701
18 331 80251
18 840 43364
18 653 14391
18 482 60317
18 149 1180
18 753 83492
18 473 6558
18 126 14942
18 306 66758
18 599 21735
18 819 55062
18 350 44297
18 884 40642
18 625 94292
18 377 21492
18 620 30786
18 800 3459
18 515 57238
18 632 86777
18 140 83988
18 944 99559
18 764 60789
18 649 47729
18 105 91814
18 124 16176
18 352 28476
18 825 36546
18 655 71362
18 536 30267
18 823 3880
18 90 56546
18 936 16614
18 144 56482
18 353 37897
18 907 3628
18 568 92627
18 416 56498
18 394 2865
18 184 97989
18 290 60263
18 254 20464
18 690 28073
18 79 13628
18 629 2489
18 937 62880
18 870 25656
18 313 94832
18 171 76181
18 493 33710
18 745 79228
18 546 72507
18 540 27129
18 508 24750
18 611 23064
18 539 76002
18 549 16635
18 581 26961
18 595 52378
18 556 49490
18 749 81254
18 397 30857
18 427 48081
18 815 3164
18 737 40500
18 512 24741
18 222 79562
18 616 71803
18 804 5323
18 412 48158
18 847 97916
18 252 20968
18 34 60937
18 831 77516
18 17 93729
18 357 14595
18 754 54259
18 452 70984
18 227 99111
18 657 31895
18 418 65522
19 550 86490
19 564 6837
19 512 54580
19 207 44498
19 840 1512
19 843 53662
19 137 66779
19 803 67989
19 900 1887
19 568 55520
19 140 26286
19 296 86509
19 410 79649
19 331 93522
19 670 72815
19 522 47291
19 323 395
19 457 26425
19 132 6981
19 825 69262
19 562 23106
19 68 38575
19 691 96743
19 694 90772
19 65 2013
19 587 2380
19 476 85058
19 711 6278
19 181 96181
19 876 82448
19 611 39483
19 44 44651
19 456 16570
19 695 27555
19 90 74702
19 605 64746
19 922 36091
19 157 4043
19 351 26235
19 105 47815
19 86 90161
19 380 89249
19 501 39081
19 255 72628
19 106 95326
19 340 20609
19 763 69038
19 471 6692
19 525 64462
19 312 74250
19 556 91109
19 81 49737
19 128 5809
19 129 78293
19 757 64096
19 655 87539
19 407 79420
19 629 71142
19 847 47944
19 36 42256
20 373 65995
20 922 75102
20 629 55293
20 23 98102
20 895 9441
20 234 34190
20 596 64742
20 299 9893
20 77 62528
20 465 42740
20 93 26103
20 753 42192
20 206 33409
20 656 50564
20 108 91895
20 380 31221
20 254 97329
20 931 91530
20 441 12055
20 397 20987
20 90 71390
20 503 63183
20 701 64372
20 779 36198
20 807 88483
20 624 85730
20 443 64920
20 678 80314
20 96 76999
20 122 64210
20 192 46449
20 704 30893
20 65 46864
